word,meaning,Tag1,Tag2,Tag3
dto(DTO),DataTransferObject／DTO（DataTransferObject）とは、関連するデータを一つにまとめ、異なるプログラム間やコンピュータ間でデータを受け渡すためのオブジェクトです。DTOは、データの受け渡しを整理し、コードをシンプルにする役割を持ち、フロントエンドとバックエンドなどアプリの異なる層の間でデータをやりとりする際に使用されます。,Java(J2SE),,
ビルド,ビルド（英：build）とはプログラムの元ネタ（ソースコード）をあれやこれやして実際のプログラムを作る作業のことです。,Java(J2SE),,
PrimeFaces(プライムフェイシズ),JSFとPrimeFacesとは何ですか？JavaserverFacesとしても知られるJSFは、Webアプリケーションを作成するためのJavaフレームワークです。Primephalyは、JSFと統合されているユーザーインターフェイスコンポーネントのライブラリであり、最新の魅力的な外観でWebアプリケーションの構築を促進します。JSFとPrimephalyは、Javaでスケーラブルで堅牢なWebアプリケーションを開発するための完全なソリューションを提供します。この記事では、JSFとPrimeFacesが何であるか、それらがどのように連携するか、そしてその主な利点と特性は何であるかを詳細に説明します。,Java(J2SE),,
decimal(デシマル),decimalは固定長整数型,Java(J2SE),,
infoファイル,「info」ファイルは、特定の情報を含むファイル形式で、以下のような用途があります32：TexinfoDocument:GNUProjectのTexinfoツールで作成されたフォーマットされた情報文書です。章やセクションを含むブック形式で保存されます。MinecraftForgeInformationFile:Minecraftの改造をインストールするためのツールで使用されるデータファイルです。JSONフォーマットのプレーンテキスト情報を含みます。GenericInformationFile:ソフトウェアやダウンロードに含まれる一般的なテキスト情報ファイルで、バージョン情報や著作権情報を文書化するために使用されます。これらのファイルは、特定のプログラムやテキストエディタで開くことができます。具体的な用途や開き方については、使用するソフトウェアに依存します。,Java(J2SE),,
正規表現,例えば「『あ』で始まるやつ！」や「『ほげ』という単語を含んでいて、さらに『い』で終わるやつ！」のように、文字列を指定する際に、あいまいな感じで指定できる表現方法のこと,Java(J2SE),,
.earファイル,JavaEEにおけるソフトウェアのパッケージの一つ。サーバへのアプリケーションの展開（デプロイ）などに用いられる。標準のファイル拡張子は「.ear」。,Java(J2SE),,
ブランチ（branch),枝、支流、支店、支線、分岐（する）、などの意味を持つ英単語。,Java(J2SE),,
トランク,他から分岐したのではない（親ブランチを持たない）オリジナルの系統のこと。,Java(J2SE),,
並行処理,並行処理は、複数のタスクが同時に一つのCPUコアで実行される（ように見える）ことを指します。,Java(J2SE),,
並列処理,並列処理は、複数のタスクが異なるCPUコアで同時に実行されることを指します。並行処理は論理的に同時に行われるが、順番は一定ではないという特徴があります,Java(J2SE),,
JDBC（読：ジェイディービーシー）,ODBC（データベースとやり取りするための通訳）のJava版。もう少し具体的に書くとJavaのプログラムとデータベースの間に入って仲立ちをしてくれる部品（に関する取り決め）<br>JDBCとは、Java DataBase Connectivity（ジャバ・データベース・コネクティビティ）の略であり、Javaプログラムがリレーショナルデータベース（RDB）にアクセスするための標準的なAPI（Application Programming Interface）です。JDBCは、Javaアプリケーションとデータベースの間に入り、「通訳」のような役割を果たします。,"Java(J2SE),API",,
キャスト（型変換）,キャスト（型変換）とは、変数の型変換を行うことを指します。Javaでは、アップキャストとダウンキャストという継承関係にあるクラスのオブジェクトをまとめて扱うことができます。,Java(J2SE),,
JVM,JVM（読：ジェイブイエム）とはJavaで作ったプログラムとコンピュータの通訳。もう少し具体的に書くとJavaの「一度書けば、どこでも動く」の思想を実現するための切り札で、Javaのプログラムを動かすためのソフトウェア,"Java(J2SE),ソフトウェア",,
ソート（sort）,ソート（sort）とは、複数のデータが並んだ列を、何らかの順序に基いて順番通りになるよう並べ替えること。数値を大きい順または小さい順に並べたり、文字をアルファベット順や五十音順に並べたり、日時を古い順または新しい順に並べ替えることが該当する。複数の同じ種類の要素が一列に並んでいる場合に、すべての要素に一律に適用可能な順序の規則を用いて並べ替える操作を意味する。,Java(J2SE),,
クラスの継承,あるオブジェクトの属性(メンバ変数)やその属性を使った処理(メンバメソッド)で共通するメンバ(メンバ変数とメンバメソッド)を集めたクラスがあるとします。このクラスに対して、共通するメンバはそのまま使用しつつも新たな属性や処理(メンバ)を加えることをクラスの継承といいます。,Java(J2SE),,
context,Javaにおける「コンテキスト(context)」は、プログラムの実行環境や状態を指します。具体的には、JavaのContextインターフェースは、ネーミングサービスやディレクトリサービスにアクセスするための環境を定義し、さまざまな設定やプロパティを伝達する方法を提供します。また、プログラム内での要素がその位置や内部状態によって異なる振る舞いをすることも「コンテキスト」と呼ばれます。さらに、Android開発においては、ContextWrapperクラスが重要な役割を果たし、アクティビティのライフサイクルに依存しています。,Java(J2SE),,
エクスクラメーションマーク(ビックリマーク),"エクスクラメーションマークは、プログラミング言語においては『否定』の意味で、よく登場する。例えば、／a=1;／b=2;／if(a!=){／print""hoge"";／}",Java(J2SE),,
ディストリビューション（Java Distribution）,Javaのディストリビューション（Java Distribution）とは、Java開発・実行環境であるJDK (Java Development Kit) や JRE (Java Runtime Environment) の特定のベンダー（提供元）によるパッケージやビルドのことです。<br>Javaはオープンソース化されて以降、Oracle社以外にも多くの企業やコミュニティが、独自のビルドやサポート体制を持つJDKを提供しています。これらの提供元が異なるJDKのパッケージが「Javaディストリビューション」と呼ばれます。Javaのディストリビューション（Java Distribution）とは、Java開発・実行環境であるJDK (Java Development Kit) や JRE (Java Runtime Environment) の特定のベンダー（提供元）によるパッケージやビルドのことです。<br>Javaはオープンソース化されて以降、Oracle社以外にも多くの企業やコミュニティが、独自のビルドやサポート体制を持つJDKを提供しています。これらの提供元が異なるJDKのパッケージが「Javaディストリビューション」と呼ばれます。,Java(J2SE),,
APIエンドポイント（API Endpoint）,APIエンドポイント（API Endpoint）とは、API（Application Programming Interface）が提供する機能にアクセスするための通信の接点となる、特定の URL のことです。<br><br>簡単に言えば、「この情報が欲しい」 または 「この操作をしてほしい」 というリクエストを送信するサーバー上の住所のようなものです。,programing,,
チケット管理ツール,チケット管理ツールとは、企業やプロジェクト内で発生するあらゆる種類の「タスク」「問題」「要望」「問い合わせ」などを、一つ一つ「チケット」という単位で記録し、その発生から解決までの進捗を一元的に管理するためのシステムです。,"system,programing",,
BEAM,BEAM⇒生産フローの変更や作業指示の発行と基礎情報登録業務をIT化し、業務効率向上及び作業ミス防止を図るシステムのこと。また、BEAMは、生産制御システム(MESALFA)と連携した基礎情報特別作業指示を対象とした業務領域を改善するシステムのこと。,BEAM,,
基礎情報変更,基礎情報変更⇒生産フローの基礎情報を改訂管理する機能のこと。,BEAM,,
特別作業指示,特別作業指示⇒特定ロットの作業条件を一時的に変更する機能のこと。（行程作業のより細かい部分を変更する。）,BEAM,,
SQL,SQL（StructuredQueryLanguage：構造化照会言語）は、データベースを操作するための言語です。主に、リレーショナルデータベース（RDB）に対し、データの検索、追加、更新、削除を行ったり、テーブルなどデータベース構造を定義したりするために使われます。,DB,,
